Название;Цвет;Длина;Ширина;Толщина;Бренд;Коллекция;Текстура
"M502 Vathi";Светло-бежевого;3680;760;12;"LG Hi-Macs";"Marmo (LG Hi-Macs)";Мраморная
"M503 Ferrara";Светло-бежевого;3680;760;12;"LG Hi-Macs";"Marmo (LG Hi-Macs)";Мраморная
"M552 Shadow";Серого;3680;760;12;"LG Hi-Macs";"Marmo (LG Hi-Macs)";Мраморная
"M553 Ebony Concrete";Серого;3680;760;12;"LG Hi-Macs";"Marmo (LG Hi-Macs)";Мраморная
"M904 Naple";Серого;3680;760;12;"LG Hi-Macs";"Marmo (LG Hi-Macs)";Мраморная
"M603 Aurora Pavia";Белого;3680;760;12;"LG Hi-Macs";"Marmo (LG Hi-Macs)";Мраморная
"M607 Aurora Cream";Светло-серого;3680;760;12;"LG Hi-Macs";"Marmo (LG Hi-Macs)";Мраморная
"M605 Aurora Sanremo";Черного;3680;760;12;"LG Hi-Macs";"Marmo (LG Hi-Macs)";Мраморная
"M614 Aurora Umber";Коричневого;3680;760;12;"LG Hi-Macs";"Marmo (LG Hi-Macs)";Мраморная
"M613 Aurora Greige";Бежевого;3680;760;12;"LG Hi-Macs";"Marmo (LG Hi-Macs)";Мраморная
"M612 Aurora Bisque";Бежевого;3680;760;12;"LG Hi-Macs";"Marmo (LG Hi-Macs)";Мраморная
"M601 Aurora Torano";Белого;3680;760;12;"LG Hi-Macs";"Marmo (LG Hi-Macs)";Мраморная
"M617 Aurora Blanc";Светло-бежевого;3680;760;12;"LG Hi-Macs";"Marmo (LG Hi-Macs)";Мраморная
"M606 Aurora Bianco";Черного;3680;760;12;"LG Hi-Macs";"Marmo (LG Hi-Macs)";Мраморная
"M608 Aurora Grey";Светло-серого;3680;760;12;"LG Hi-Macs";"Marmo (LG Hi-Macs)";Мраморная
"M615 Aurora Cotton";Белого;3680;760;12;"LG Hi-Macs";"Marmo (LG Hi-Macs)";Мраморная
"Glacier White (A)";Белого;3658;760;12;Corian;"группа A (Corian)";Монотонная
"Athena Gray 1 (B)";Бежевого;3658;760;12;Corian;"группа  B (Corian)";Монотонная
"Bisque 1 (B)";Светло-бежевого;3658;760;12;Corian;"группа  B (Corian)";Монотонная
"Bone 1 (B)";Светло-бежевого;3658;760;12;Corian;"группа  B (Corian)";Монотонная
"Cameo White 1 (B)";Светло-бежевого;3658;760;12;Corian;"группа  B (Corian)";Монотонная
"Designer White 1 (B)";Белого;3658;760;12;Corian;"группа  B (Corian)";Монотонная
"Elegant Gray 1 (B)";Серого;3658;760;12;Corian;"группа  B (Corian)";Монотонная
"Glacier Ice 1  (B)";Белого;3658;760;12;Corian;"группа  B (Corian)";Светопроводящая
"Light Ash 1 (B)";Белого;3658;760;12;Corian;"группа  B (Corian)";Монотонная
"Lime Ice 1   (B)";Зеленого;3658;760;12;Corian;"группа  B (Corian)";Светопроводящая
"Mint Ice 1 (B)";"Синего / Голубого";3658;760;12;Corian;"группа  B (Corian)";Светопроводящая
"Pearl Gray (B) 1";Светло-серого;3658;760;12;Corian;"группа  B (Corian)";Монотонная
"Sand 1 (B)";Бежевого;3658;760;12;Corian;"группа  B (Corian)";Монотонная
"Sea Grass 1 (B)";"Синего / Голубого";3658;760;12;Corian;"группа  B (Corian)";Монотонная
"Silver Gray  1 (B)";Серого;3658;760;12;Corian;"группа  B (Corian)";Монотонная
"Vanilla 1 (B)";Светло-бежевого;3658;760;12;Corian;"группа  B (Corian)";Монотонная
"Aurora 2 (С)";Светло-бежевого;3658;760;12;Corian;"группа  C (Corian)";Песчаная
"Citrus Orange 2  (С)";Оранжевого;3658;760;12;Corian;"группа  C (Corian)";Монотонная
"Dusk 2 (С)";Серого;3658;760;12;Corian;"группа  C (Corian)";Песчаная
"Grape Green 2 (С)";Зеленого;3658;760;12;Corian;"группа  C (Corian)";Монотонная
"Hot 2  (С)";"Красного / розового";3658;760;12;Corian;"группа  C (Corian)";Монотонная
"Imperial Yellow 2 (С)";Желтого;3658;760;12;Corian;"группа  C (Corian)";Монотонная
"Linen 2 (С)";Светло-бежевого;3658;760;12;Corian;"группа  C (Corian)";Песчаная
"Midnight 2 (С)";Черного;3658;760;12;Corian;"группа  C (Corian)";Песчаная
"Royal Red 2  (С)";"Красного / розового";3658;760;12;Corian;"группа  C (Corian)";Монотонная
"Sandstone 2 (С)";Бежевого;3658;760;12;Corian;"группа  C (Corian)";Песчаная
"Shale 2 (С)";Черного;3658;760;12;Corian;"группа  C (Corian)";Песчаная
"Silt 2 (С)";Коричневого;3658;760;12;Corian;"группа  C (Corian)";Песчаная
"Warm Gray 2 (С)";Светло-серого;3658;760;12;Corian;"группа  C (Corian)";Песчаная
"Mojave 2 (С)";Бежевого;3658;760;12;Corian;"группа  C (Corian)";Песчаная
"Artista Beige 2 (С)";Светло-бежевого;3658;760;12;Corian;"группа  C (Corian)";Песчаная
"Aqua 2 (D)";"Синего / Голубого";3658;760;12;Corian;"группа  D (Corian)";Песчаная
"Blooming Green (D)";Зеленого;3658;760;12;Corian;"группа  D (Corian)";Монотонная
"Deep Caviar (D)";Черного;3658;760;12;Corian;"группа  D (Corian)";Песчаная
"Deep Cloud (D)";Серого;3658;760;12;Corian;"группа  D (Corian)";Монотонная
"Deep Espresso (D)";Коричневого;3658;760;12;Corian;"группа  D (Corian)";Монотонная
"Deep Mink (D)";Коричневого;3658;760;12;Corian;"группа  D (Corian)";Песчаная
"Deep Nocturne (D)";Черного;3658;760;12;Corian;"группа  D (Corian)";Монотонная
"Deep Sable (D)";Коричневого;3658;760;12;Corian;"группа  D (Corian)";Монотонная
"Deep Titanium (D)";Черного;3658;760;12;Corian;"группа  D (Corian)";Монотонная
"Diamond Blue (D)";"Синего / Голубого";3658;760;12;Corian;"группа  D (Corian)";Монотонная
"Dove (D)";Серого;3658;760;12;Corian;"группа  D (Corian)";Гранитная
"Eclipse (D)";Серого;3658;760;12;Corian;"группа  D (Corian)";Песчаная
"Raffia (D)";Бежевого;3658;760;12;Corian;"группа  D (Corian)";Гранитная
"Sienna Brown (D)";Серого;3658;760;12;Corian;"группа  D (Corian)";Песчаная
"Sparkling White (D)";Белого;3658;760;12;Corian;"группа  D (Corian)";Песчаная
"Venaro White (D)";Белого;3658;760;12;Corian;"группа  D (Corian)";Мраморная
"White Jasmine (D)";Белого;3658;760;12;Corian;"группа  D (Corian)";Гранитная
"Abalone (E/3)";Светло-бежевого;3658;760;12;Corian;"группа  E (Corian)";Гранитная
"Anthracite (E)";Черного;3658;760;12;Corian;"группа  E (Corian)";Металлик
"Ash Concrete (E)";Серого;3658;760;12;Corian;"группа  E (Corian)";Мраморная
"Canyon (E)";Коричневого;3658;760;12;Corian;"группа  E (Corian)";Гранитная
"Carbon Concrete (E)";Серого;3658;760;12;Corian;"группа  E (Corian)";Мраморная
"Everest (E)";Светло-серого;3658;760;12;Corian;"группа  E (Corian)";Гранитная
"Matterhorn (E)";Коричневого;3658;760;12;Corian;"группа  E (Corian)";Песчаная
"Neutral Concrete (E)";Серого;3658;760;12;Corian;"группа  E (Corian)";Мраморная
"Silverite (E)";Серого;3658;760;12;Corian;"группа  E (Corian)";Металлик
"Weathered Concrete (E)";Серого;3658;760;12;Corian;"группа  E (Corian)";Мраморная
"Willow (E)";Серого;3658;760;12;Corian;"группа  E (Corian)";Гранитная
"Arctic Ice (F)";Белого;3658;760;12;Corian;"группа  F (Corian)";Гранитная
"Aztec Gold (F)";Желтого;3658;760;12;Corian;"группа  F (Corian)";Мраморная
"Beige Fieldstone  (F)";Бежевого;3658;760;12;Corian;"группа  F (Corian)";Гранитная
"Clam Shell (F)";Светло-серого;3658;760;12;Corian;"группа  F (Corian)";Мраморная
"Cocoa Brown (F)";Коричневого;3658;760;12;Corian;"группа  F (Corian)";Гранитная
"Deep Anthracite (F)";Черного;3658;760;12;Corian;"группа  F (Corian)";Металлик
"Deep Bedrock  (F)";Коричневого;3658;760;12;Corian;"группа  F (Corian)";Гранитная
"Deep Black Quartz (F)";Черного;3658;760;12;Corian;"группа  F (Corian)";Песчаная
"Deep Night Sky (F)";Черного;3658;760;12;Corian;"группа  F (Corian)";Гранитная
"Deep Storm (F)";Коричневого;3658;760;12;Corian;"группа  F (Corian)";Песчаная
"Fossil (F)";Бежевого;3658;760;12;Corian;"группа  F (Corian)";Гранитная
"Gravel (F)";Черного;3658;760;12;Corian;"группа  F (Corian)";Гранитная
"Graylite (F)";Серого;3658;760;12;Corian;"группа  F (Corian)";Гранитная
"Antarctica (F)";Белого;3658;760;12;Corian;"группа  F (Corian)";Гранитная
"Platinum (F)";Серого;3658;760;12;Corian;"группа  F (Corian)";Гранитная
"Sahara (F)";Бежевого;3658;760;12;Corian;"группа  F (Corian)";Гранитная
"Savannah (F)";Светло-бежевого;3658;760;12;Corian;"группа  F (Corian)";Гранитная
"Rain Cloud (F)";Светло-серого;3658;760;12;Corian;"группа  F (Corian)";Мраморная
"Sandalwood (F)";Серого;3658;760;12;Corian;"группа  F (Corian)";Мраморная
"Silver Birch (F)";Светло-серого;3658;760;12;Corian;"группа  F (Corian)";Гранитная
"Witch Hazel (F)";Серого;3658;760;12;Corian;"группа  F (Corian)";Мраморная
"Arrowroot (G)";Серого;3658;760;12;Corian;"группа  G (Corian)";Мраморная
"Tumbleweed (G)";Коричневого;3658;760;12;Corian;"группа  G (Corian)";Мраморная
"Burled Beach (G)";Коричневого;3658;760;12;Corian;"группа  G (Corian)";Мраморная
"Cocoa Prima (G)";Коричневого;3658;760;12;Corian;"группа  G (Corian)";Металлик
"Cosmos Prima (G)";Черного;3658;760;12;Corian;"группа  G (Corian)";Мраморная
"Dune Prima (G)";Светло-бежевого;3658;760;12;Corian;"группа  G (Corian)";Мраморная
"Ecru (G)";Светло-бежевого;3658;760;12;Corian;"группа  G (Corian)";Металлик
"Evening Prima (G)";Черного;3658;760;12;Corian;"группа  G (Corian)";Металлик
"Gray Onyx (G/4 группа)";Серого;3658;760;12;Corian;"группа  G (Corian)";Мраморная
"Hazelnut (G)";Светло-серого;3658;760;12;Corian;"группа  G (Corian)";Металлик
"Juniper (G)";Светло-серого;3658;760;12;Corian;"группа  G (Corian)";Мраморная
"Lava Rock (G)";Светло-серого;3658;760;12;Corian;"группа  G (Corian)";Мраморная
"Limestone Prima  (G)";Светло-бежевого;3658;760;12;Corian;"группа  G (Corian)";Мраморная
"Mineral (G)";Серого;3658;760;12;Corian;"группа  G (Corian)";Гранитная
"Nimbus Prima (G)";Светло-бежевого;3658;760;12;Corian;"группа  G (Corian)";Мраморная
"Rosemary (G)";Коричневого;3658;760;12;Corian;"группа  G (Corian)";Мраморная
"Sagebrush (G)";Серого;3658;760;12;Corian;"группа  G (Corian)";Мраморная
Sonora(G);Коричневого;3658;760;12;Corian;"группа  G (Corian)";Мраморная
"Sorrel (G)";Серого;3658;760;12;Corian;"группа  G (Corian)";Мраморная
"White Onyx (G/4 группа)";Белого;3658;760;12;Corian;"группа  G (Corian)";Мраморная
"Whitecap  (G)";Белого;3658;760;12;Corian;"группа  G (Corian)";Гранитная
"Basalt Terrazzo (G)";Серого;3658;760;12;Corian;"группа  G (Corian)";Мраморная
"Smoke Drift Prima G/4 группа)";Серого;3658;760;12;Corian;"группа  G (Corian)";Мраморная
"Pebble Terrazzo (G)";Светло-серого;3658;760;12;Corian;"группа  G (Corian)";Мраморная
"Domino Terrazzo (G)";Светло-серого;3658;760;12;Corian;"группа  G (Corian)";Мраморная
"A-102 Beige Cream";Светло-бежевого;3658;760;12;Tristone;"серия Modern (Tristone)";Монотонная
"A-104 Pure White";Белого;3658;760;12;Tristone;"серия Modern (Tristone)";Монотонная
"A-105 Dark Cave";Черного;3658;760;12;Tristone;"серия Modern (Tristone)";Монотонная
"A-111 Espresso";Коричневого;3658;760;12;Tristone;"серия Modern (Tristone)";Монотонная
"A-134 Iron";Серого;3658;760;12;Tristone;"серия Modern (Tristone)";Монотонная
"A- 201 Sunset";"Красного / розового";3658;760;12;Tristone;"серия Modern (Tristone)";Монотонная
"A- 203 Maple";Оранжевого;3658;760;12;Tristone;"серия Modern (Tristone)";Монотонная
"A-210 Light Grey";Светло-серого;3658;760;12;Tristone;"серия Modern (Tristone)";Монотонная
"S- 102 Beige Sands";Бежевого;3658;760;12;Tristone;"серия Classical (Tristone)";Песчаная
"S-104 Highlands";Серого;3658;760;12;Tristone;"серия Classical (Tristone)";Песчаная
"S- 105 Ashley Beige";Светло-серого;3658;760;12;Tristone;"серия Classical (Tristone)";Песчаная
"S- 107 Peach Tree";Бежевого;3658;760;12;Tristone;"серия Classical (Tristone)";Песчаная
"S-110 Cream Sands";Светло-бежевого;3658;760;12;Tristone;"серия Classical (Tristone)";Песчаная
"S-111 Tempest Grey";Серого;3658;760;12;Tristone;"серия Classical (Tristone)";Песчаная
"S-113 Irish Cream";Светло-серого;3658;760;12;Tristone;"серия Classical (Tristone)";Песчаная
"S-117 Sand Castle";Светло-серого;3658;760;12;Tristone;"серия Classical (Tristone)";Песчаная
"S-119 Night Sky";Черного;3658;760;12;Tristone;"серия Classical (Tristone)";Песчаная
"S-125 Sicily";Коричневого;3658;760;12;Tristone;"серия Classical (Tristone)";Песчаная
"S-201 Fog";Светло-серого;3658;760;12;Tristone;"серия Classical (Tristone)";Песчаная
"S-202 Night Pearl";Черного;3658;760;12;Tristone;"серия Classical (Tristone)";Песчаная
"S-203 Snow Pearl";Белого;3658;760;12;Tristone;"серия Classical (Tristone)";Песчаная
"S-204 Soft Pearl";Светло-серого;3658;760;12;Tristone;"серия Classical (Tristone)";Песчаная
"S-205 Black Frost";Черного;3658;760;12;Tristone;"серия Classical (Tristone)";Песчаная
"S-207 Milky Sands";Белого;3658;760;12;Tristone;"серия Classical (Tristone)";Песчаная
