Название;Цвет;Длина;Ширина;Толщина;Бренд;Коллекция;Текстура
"Marble J21-004";Светло-серого;3200;1600;20;IdsStone;"Calacata/Marble (IDS-Stone)";Мраморная
"6013 Catania (Marble H6013)";Коричневого;3050;1500;20;IdsStone;"Calacata/Marble (IDS-Stone)";Мраморная
"Marble H8418";Бежевого;3050;1500;20;IdsStone;"Calacata/Marble (IDS-Stone)";Мраморная
" Marble H004";Бежевого;3050;750;20;IdsStone;"Calacata/Marble (IDS-Stone)";Мраморная
"Granite TCE 2022";Бежевого;3050;1500;20;IdsStone;"Granite (IDS-Stone)";Гранитная
"Granite SL 8008 / Crystal White 8008";Белого;3050;1500;20;IdsStone;"Granite (IDS-Stone)";Гранитная
"Granite FK 1050";Коричневого;3050;1500;20;IdsStone;"Granite (IDS-Stone)";Гранитная
"Granite ES 1204";Коричневого;3050;750;15;IdsStone;"Granite (IDS-Stone)";Гранитная
"Granite TCE 2131";Бежевого;3050;1500;20;IdsStone;"Granite (IDS-Stone)";Гранитная
"Granite SL 9615 ";Бежевого;3050;1500;20;IdsStone;"Granite (IDS-Stone)";Гранитная
"Granite SL 9621";Серого;3050;750;20;IdsStone;"Granite (IDS-Stone)";Гранитная
"Melfi 9912 (Granite ES 9912)";Серого;3050;750;20;IdsStone;"Granite (IDS-Stone)";Гранитная
"Granite Z5005";Коричневого;3050;750;15;IdsStone;"Granite (IDS-Stone)";Гранитная
"Granite ES 1000";Белого;3050;1500;20;IdsStone;"Granite (IDS-Stone)";Гранитная
"Granite Z2032";Серого;3050;750;20;IdsStone;"Granite (IDS-Stone)";Гранитная
"Granite SL 9607 / Mirror White 9607";Белого;3050;1500;20;IdsStone;"Granite (IDS-Stone)";Гранитная
"Calacata 0420";Белого;3200;1600;20;IdsStone;"Calacata/Marble (IDS-Stone)";Мраморная
"1007  Volen / Calacata 1007";Светло-серого;3200;1600;20;IdsStone;"Calacata/Marble (IDS-Stone)";Мраморная
"0604 Sitjes ";Серого;3200;1600;20;IdsStone;"Calacata/Marble (IDS-Stone)";Мраморная
"Calacata 1217 ";Коричневого;3200;1600;20;IdsStone;"Calacata/Marble (IDS-Stone)";Мраморная
"Calacata 0503";Бежевого;3200;1600;20;IdsStone;"Calacata/Marble (IDS-Stone)";Мраморная
" Valans 1022 / Calacata 1022";Белого;3200;1600;20;IdsStone;"Calacata/Marble (IDS-Stone)";Мраморная
"Calacata 1201";Серого;3200;1600;20;IdsStone;"Calacata/Marble (IDS-Stone)";Мраморная
"Morsan 1113";Светло-серого;3200;1600;20;IdsStone;"Calacata/Marble (IDS-Stone)";Мраморная
"Calacata 1202";Светло-серого;3200;1600;20;IdsStone;"Calacata/Marble (IDS-Stone)";Мраморная
"Calacata 6017";Светло-серого;3200;1600;20;IdsStone;"Calacata/Marble (IDS-Stone)";Мраморная
"Calacata 6069";Светло-серого;3200;1600;20;IdsStone;"Calacata/Marble (IDS-Stone)";Мраморная
"Avola 6083 / Calacata 6083";Светло-серого;3200;1600;20;IdsStone;"Calacata/Marble (IDS-Stone)";Мраморная
" 1102 Roan  (calacata 1102)";Светло-серого;3200;1600;20;IdsStone;"Calacata/Marble (IDS-Stone)";Мраморная
"Calacata  11016";Светло-серого;3200;1600;20;IdsStone;"Calacata/Marble (IDS-Stone)";Мраморная
"Aosta 6099";Светло-серого;3200;1600;20;IdsStone;"Calacata/Marble (IDS-Stone)";Мраморная
"Calacata 8051";Светло-серого;3200;1600;20;IdsStone;"Calacata/Marble (IDS-Stone)";Мраморная
"Marble 0932 / 0932 Olivia";Коричневого;3200;1600;20;IdsStone;"Calacata/Marble (IDS-Stone)";Мраморная
"Calacata Matterhorn 5104 ";Светло-серого;3200;1600;20;IdsStone;"Calacata/Marble (IDS-Stone)";Мраморная
"7077 Calacatta Leffe";Белого;3200;1600;20;IdsStone;"Calacata/Marble (IDS-Stone)";Мраморная
"CALACATTA GOLD 3213";Светло-бежевого;3200;1600;20;IdsStone;"Calacata/Marble (IDS-Stone)";Мраморная
"Calacata L020";Коричневого;3200;1600;20;IdsStone;"Calacata/Marble (IDS-Stone)";Мраморная
"6037 Impala Black  / Calacata 6033 ";Черного;3200;1600;20;IdsStone;"Calacata/Marble (IDS-Stone)";Мраморная
"Calacata 88014 (СНЯТ)";Черного;3200;1600;20;IdsStone;"Calacata/Marble (IDS-Stone)";Мраморная
"Calacata 26062";Серого;3200;1600;20;IdsStone;"Calacata/Marble (IDS-Stone)";Мраморная
"Calacata 6033W";Светло-серого;3200;1600;20;IdsStone;"Calacata/Marble (IDS-Stone)";Мраморная
"Marble H901";Светло-серого;3200;1600;20;IdsStone;"Calacata/Marble (IDS-Stone)";Мраморная
"Carrara  White 1401 ";Светло-серого;3200;1600;20;IdsStone;"Calacata/Marble (IDS-Stone)";Мраморная
"Carrara Grey 2323 ";Серого;3200;1600;20;IdsStone;"Calacata/Marble (IDS-Stone)";Мраморная
"Marble H915";Светло-серого;3050;1500;20;IdsStone;"Calacata/Marble (IDS-Stone)";Мраморная
"Adara 6008 (Marble H6008)";Серого;3050;1500;20;IdsStone;"Calacata/Marble (IDS-Stone)";Мраморная
"Granite TCE 2014";Черного;3050;1500;20;IdsStone;"Granite (IDS-Stone)";Гранитная
"8765 Volcano Black ";Черного;3100;1520;20;Belenco;—;Гранитная
"1150 Dorata Gold";Бежевого;3100;1520;20;Belenco;—;Гранитная
"8765 Volcano Black Seta (матовый)";Черного;3100;1520;20;Belenco;—;Гранитная
"5050 Forza Fume ";Серого;3100;1520;20;Belenco;—;Гранитная
"5250 Elixir White ";Светло-бежевого;3100;1520;20;Belenco;—;Гранитная
"2051 Kristella Fume ";Серого;3100;1520;20;Belenco;—;Гранитная
"4262 Kristella White";Белого;3100;1520;20;Belenco;—;Гранитная
"5151 Kristalius Beige";Бежевого;3100;1520;20;Belenco;—;Гранитная
"5751 Gala Black";Черного;3100;1520;20;Belenco;—;Гранитная
"5139 Juliet White";Белого;3100;1520;20;Belenco;—;Гранитная
"7543 Montana";Белого;3100;1520;20;Belenco;—;Мраморная
"5329 Mocca Mousse";Бежевого;3100;1520;20;Belenco;—;Мраморная
"4444 Sahara Beige";Бежевого;3100;1520;20;Belenco;—;Мраморная
"4043 Aizano";Черного;3100;1520;20;Belenco;—;Мраморная
"4043 Aizano Seta (матовый)";Черного;3100;1520;20;Belenco;—;Мраморная
"4227 Fairy White ";Светло-серого;3100;1520;20;Belenco;—;Мраморная
"6114 Belluno";Светло-бежевого;3185;1550;20;Belenco;—;Мраморная
"6114 Belluno Soft Touch (матовый)";Светло-бежевого;3100;1520;20;Belenco;—;Мраморная
"3555 Parma";Бежевого;3100;1520;20;Belenco;—;Мраморная
"3223  Lumiere";Светло-бежевого;3100;1520;20;Belenco;—;Мраморная
"1227 Pixie Wings";Светло-бежевого;3100;1520;20;Belenco;—;Мраморная
"2254 Aurora";Светло-серого;3300;1650;20;Belenco;—;Мраморная
"6656 Lisbon";Светло-бежевого;3100;1520;20;Belenco;—;Гранитная
"4535 Terre Grey";Коричневого;3100;1520;20;Belenco;—;Мраморная
"3110 Polaris";Белого;3100;1520;20;Belenco;—;Гранитная
"4458 Chakra Beige";Бежевого;3300;1650;20;Belenco;—;Мраморная
"7537 Metropol Grey";Коричневого;3100;1520;20;Belenco;—;Мраморная
"7537 Metropol Grey Seta (матовый)";Серого;3100;1520;20;Belenco;—;Мраморная
"3333 Boletus";Бежевого;3100;1520;20;Belenco;—;Мраморная
"3333 Boletus Seta (матовый)";Бежевого;3100;1520;20;Belenco;—;Мраморная
"3618 Olympos";Бежевого;3100;1520;20;Belenco;—;Мраморная
"4558 Babilon";Коричневого;3100;1520;20;Belenco;—;Мраморная
"4558 Babilon Seta (матовый)";Коричневого;3100;1520;20;Belenco;—;Мраморная
"9113 Alinda";Светло-бежевого;3300;1650;20;Belenco;—;Мраморная
"8113 Anemon";Светло-серого;3100;1520;20;Belenco;—;Мраморная
"8727 Spa Black";Черного;3300;1650;20;Belenco;—;Мраморная
"8727 Spa Black Seta (Матовый)";Черного;3300;1650;20;Belenco;—;Мраморная
"1124  Amalfi";Светло-серого;3100;1520;20;Belenco;—;Мраморная
"4524  La Luna";Светло-серого;3300;1650;20;Belenco;—;Мраморная
"3113 Daphne Creek";Белого;3300;1650;20;Belenco;—;Мраморная
"4123 Kashmera White";Светло-серого;3100;1520;20;Belenco;—;Мраморная
"5114 Carola";Светло-бежевого;3100;1520;20;Belenco;—;Мраморная
"2110 Angel White";Белого;3100;1520;20;Belenco;—;Гранитная
"1110 Iceberg";Белого;3100;1520;20;Belenco;—;Мраморная
"1123 Perla White";Светло-серого;3300;1650;20;Belenco;—;Мраморная
"2214 Teos";Светло-серого;3100;1520;20;Belenco;—;Мраморная
"9719 Marquina Lavanga";Черного;3100;1520;20;Belenco;—;Мраморная
"9119 Calacatta Veneto";Светло-серого;3100;1520;20;Belenco;—;Мраморная
"R510 Черное море";Черного;3200;1600;20;АВАРУС;—;Мраморная
"R403 Скалы Карелии";Серого;3050;1440;20;АВАРУС;—;Мраморная
"R310 Полярная ночь";Черного;3050;1440;20;АВАРУС;—;Гранитная
"C3269H Ash Grey Honed";Бежевого;3300;1650;20;Stratos;—;Монотонная
"R413 Туман Невы";Серого;3050;1440;20;АВАРУС;—;Мраморная
"R515 Вулканы Камчатки";Белого;3200;1600;20;АВАРУС;—;Мраморная
"R531 Донская Степь";Коричневого;3050;1440;20;АВАРУС;—;Мраморная
"С2104H Massa Honed";Светло-серого;3300;1650;20;Stratos;—;Монотонная
"R522 Золотое Кольцо";Бежевого;3050;1440;20;АВАРУС;—;Мраморная
"R538 Горы Кавказа";Коричневого;3050;1440;20;АВАРУС;—;Мраморная
" C3105 Casla Cloudy";Светло-серого;3300;1650;20;Stratos;—;Монотонная
"R503 Уральские Горы";Коричневого;3050;1440;20;АВАРУС;—;Мраморная
"R511 Лёд Байкала";Серого;3200;1600;20;АВАРУС;—;Мраморная
"C3146H Casla Nova Hohed";Светло-серого;3320;1650;20;Stratos;—;Монотонная
"RM510 Черное море (матовый)";Черного;3050;1440;20;АВАРУС;—;Мраморная
"RM403 Скалы Карелии (матовый)";Серого;3050;1440;20;АВАРУС;—;Мраморная
"R520 Астраханские пески";Белого;3050;1440;20;АВАРУС;—;Мраморная
"R104 Белая тайга";Белого;3050;1440;20;АВАРУС;—;Мраморная
"R112 Соль Каспия";Белого;3050;1440;20;АВАРУС;—;Мраморная
"C1205 Casla Everest";Белого;3300;1650;20;Stratos;—;Монотонная
"R122 Алмазы Якутии";Белого;3050;1440;20;АВАРУС;—;Мраморная
"R444 Ай-Петри";Серого;3050;1440;20;АВАРУС;—;Мраморная
"R500 Жемчуг Приморья";Серого;3050;1440;20;АВАРУС;—;Мраморная
"R541 Снега Сибири";Светло-серого;3200;1600;20;АВАРУС;—;Мраморная
